key,org,Quarter,Util,NPM,GPM,GP_Per_CHead,GF_Per_Chead,NetVar,SubconPerc,LMult,Leverage,Ind_per_Chead,Dir_Per_Chead,TC_per_Chead,NP_per_Chead,Nvar_Perc_Eff,NVar_Perc_Rev,Rev_Budg_Var,GP_Budg_Var,NP_Budg_Var,DirLab_Perc_ProfFees,PropLab_Perc_ProfFees,BDLab_Perc_ProfFees,IndLab_Perc_ProfFees,TLab_Perc_ProfFees
Apr-Jun 2013-9120 TRAFFIC & TRANSPORTATION,9120 TRAFFIC & TRANSPORTATION,Apr-Jun 2013,63.99%,-14.17%,37.14%,105 189.20,283 241.30,-159 254,39.40%,2.15,7,145 335,178 052,323 387,-40 146,-2.09%,-2.14%,-7.59%,-30.67%,-424.35%,46.54%,4.07%,0.00%,19.44%,70.05%
Apr-Jun 2013-9320 ROADS & HIGHWAYS,9320 ROADS & HIGHWAYS,Apr-Jun 2013,78.63%,3.13%,37.76%,125 982.80,333 684.40,557 550,36.80%,2.24,9.43,115 547,207 702,323 249,10 436,2.39%,2.33%,-25.76%,-22.32%,-81.62%,44.65%,1.22%,0.00%,14.18%,60.05%
Apr-Jun 2013-9440 RAILWAY ENGINEERING SERVICES,9440 RAILWAY ENGINEERING SERVICES,Apr-Jun 2013,69.19%,18.56%,43.16%,247 133.00,572 573.10,2 542 618,58.00%,2.71,4,140 842,325 440,466 282,106 291,9.82%,8.94%,36.39%,28.54%,71.48%,36.94%,1.77%,0.00%,14.91%,53.62%
Jul-Sep 2013-3230 ENVIRONMENTAL SERVICES,3230 ENVIRONMENTAL SERVICES,Jul-Sep 2013,64.31%,11.40%,54.19%,109 671.60,202 370.00,672 386,27.50%,2.92,11.33,86 601,92 698,179 299,23 071,11.86%,10.60%,-2.36%,7.09%,92.49%,34.29%,5.51%,0.00%,20.52%,60.33%
Jul-Sep 2013-4320 POWER AND ENERGY,4320 POWER AND ENERGY,Jul-Sep 2013,74.94%,20.32%,59.78%,145 471.20,243 360.50,2 436 109,16.20%,3.07,12.5,96 023,97 889,193 912,49 448,23.29%,18.89%,5.82%,16.33%,53.02%,32.59%,2.81%,0.00%,12.77%,48.17%
"Jul-Sep 2013-6240 DAMS, HYDROPOWER & UNDERGROUND","6240 DAMS, HYDROPOWER & UNDERGROUND",Jul-Sep 2013,82.75%,23.03%,38.88%,260 375.80,669 755.10,7 861 112,64.10%,2.38,14.75,106 110,409 379,515 489,154 266,23.51%,19.03%,33.93%,49.46%,141.25%,42.03%,0.62%,0.00%,9.82%,52.47%
Jul-Sep 2013-8220 INTEGRATED INFRASTRUCTURE,8220 INTEGRATED INFRASTRUCTURE,Jul-Sep 2013,74.80%,13.69%,42.76%,138 147.20,323 095.20,6 828 665,50.20%,2.75,12.73,93 924,184 948,278 872,44 223,11.60%,10.39%,1.43%,19.51%,55.91%,36.36%,2.73%,0.00%,11.83%,50.92%
Jul-Sep 2013-9120 TRAFFIC & TRANSPORTATION,9120 TRAFFIC & TRANSPORTATION,Jul-Sep 2013,61.29%,-12.45%,41.07%,100 881.00,245 649.80,-359 313,35.20%,2.21,7,131 461,144 769,276 230,-30 580,-4.80%,-5.04%,-9.88%,-25.61%,-1285.49%,45.25%,4.66%,0.00%,21.62%,71.54%
Jul-Sep 2013-9320 ROADS & HIGHWAYS,9320 ROADS & HIGHWAYS,Jul-Sep 2013,80.77%,11.33%,44.66%,137 739.00,308 396.00,1 618 436,34.70%,2.42,9.71,102 788,170 657,273 445,34 951,7.45%,6.94%,-27.53%,-10.48%,-34.78%,41.29%,1.50%,0.00%,12.99%,55.78%
Jul-Sep 2013-9440 RAILWAY ENGINEERING SERVICES,9440 RAILWAY ENGINEERING SERVICES,Jul-Sep 2013,72.89%,17.75%,39.36%,217 604.90,552 910.90,1 302 230,55.00%,2.77,4.2,119 476,335 306,454 782,98 129,4.74%,4.53%,39.64%,20.43%,50.07%,36.06%,0.93%,0.00%,12.34%,49.33%
Oct-Dec 2013-3230 ENVIRONMENTAL SERVICES,3230 ENVIRONMENTAL SERVICES,Oct-Dec 2013,52.97%,-12.72%,53.90%,92 828.60,172 231.30,691 014,34.10%,3.15,9.67,114 740,79 403,194 143,-21 912,15.84%,13.68%,-12.21%,-4.09%,112.86%,31.75%,5.76%,0.00%,35.65%,73.16%
Oct-Dec 2013-4320 POWER AND ENERGY,4320 POWER AND ENERGY,Oct-Dec 2013,68.75%,12.27%,58.91%,126 932.00,215 481.40,1 855 375,10.60%,3.09,12.75,100 489,88 549,189 038,26 443,19.69%,16.45%,2.31%,11.33%,129.50%,32.38%,3.85%,0.00%,16.60%,52.83%
"Oct-Dec 2013-6240 DAMS, HYDROPOWER & UNDERGROUND","6240 DAMS, HYDROPOWER & UNDERGROUND",Oct-Dec 2013,72.09%,19.60%,38.38%,229 963.10,599 226.30,5 691 080,58.00%,2.24,14.25,112 520,369 263,481 784,117 443,18.81%,15.83%,-12.73%,-17.21%,-20.80%,44.58%,0.65%,0.00%,18.46%,63.70%
